crawl_date,metric,value,percentage
2026-04-13,Site Crawled,http://spilou.com/,
2026-04-13,Start Date,2026-04-13,
2026-04-13,Start Time,08:58:59,
2026-04-13,Last Modified Date,2026-04-13,
2026-04-13,Last Modified Time,08:59:19,
2026-04-13,Elapsed,00:00:18,
2026-04-13,Report Date,2026-04-13,
2026-04-13,Report Time,08:59:19,
2026-04-13,Summary,URLs,% of Total
2026-04-13,Total URLs Encountered,266,100.00%
2026-04-13,Total URLs Crawled,228,85.71%
2026-04-13,Total Internal blocked by robots.txt,0,0.00%
2026-04-13,Total External blocked by robots.txt,38,14.29%
2026-04-13,URLs Displayed,266,100.00%
2026-04-13,Total Internal URLs,130,48.87%
2026-04-13,Total External URLs,136,51.13%
2026-04-13,Total Internal Indexable URLs,86,32.33%
2026-04-13,Total Internal Non-Indexable URLs,44,16.54%
2026-04-13,All,130,100.00%
2026-04-13,HTML,87,66.92%
2026-04-13,JavaScript,1,0.77%
2026-04-13,CSS,3,2.31%
2026-04-13,Images,38,29.23%
2026-04-13,Media,0,0.00%
2026-04-13,Fonts,0,0.00%
2026-04-13,XML,0,0.00%
2026-04-13,PDF,0,0.00%
2026-04-13,Plugins,0,0.00%
2026-04-13,Other,1,0.77%
2026-04-13,Unknown,0,0.00%
2026-04-13,All,136,100.00%
2026-04-13,HTML,56,41.18%
2026-04-13,JavaScript,0,0.00%
2026-04-13,CSS,0,0.00%
2026-04-13,Images,0,0.00%
2026-04-13,Media,0,0.00%
2026-04-13,Fonts,0,0.00%
2026-04-13,XML,0,0.00%
2026-04-13,PDF,0,0.00%
2026-04-13,Plugins,0,0.00%
2026-04-13,Other,42,30.88%
2026-04-13,Unknown,38,27.94%
2026-04-13,All,130,100.00%
2026-04-13,HTTP URLs,1,0.77%
2026-04-13,HTTPS URLs,129,99.23%
2026-04-13,Mixed Content,0,0.00%
2026-04-13,Form URL Insecure,0,0.00%
2026-04-13,Form on HTTP URL,0,0.00%
2026-04-13,Unsafe Cross-Origin Links,0,0.00%
2026-04-13,Protocol-Relative Resource Links,0,0.00%
2026-04-13,Missing HSTS Header,0,0.00%
2026-04-13,Missing Content-Security-Policy Header,86,66.15%
2026-04-13,Missing X-Content-Type-Options Header,86,66.15%
2026-04-13,Missing X-Frame-Options Header,86,66.15%
2026-04-13,Missing Secure Referrer-Policy Header,86,66.15%
2026-04-13,Bad Content Type,0,0.00%
2026-04-13,All,266,100.00%
2026-04-13,Blocked by Robots.txt,38,14.29%
2026-04-13,Blocked Resource,0,0.00%
2026-04-13,No Response,0,0.00%
2026-04-13,Success (2xx),98,36.84%
2026-04-13,Redirection (3xx),126,47.37%
2026-04-13,Redirection (JavaScript),0,0.00%
2026-04-13,Redirection (Meta Refresh),0,0.00%
2026-04-13,Redirection (HTTP Refresh),0,0.00%
2026-04-13,Client Error (4xx),3,1.13%
2026-04-13,Server Error (5xx),0,0.00%
2026-04-13,Internal All,130,48.87%
2026-04-13,Internal Blocked by Robots.txt,0,0.00%
2026-04-13,Internal Blocked Resource,0,0.00%
2026-04-13,Internal No Response,0,0.00%
2026-04-13,Internal Success (2xx),86,32.33%
2026-04-13,Internal Redirection (3xx),44,16.54%
2026-04-13,Internal Redirection (JavaScript),0,0.00%
2026-04-13,Internal Redirection (Meta Refresh),0,0.00%
2026-04-13,Internal Redirection (HTTP Refresh),0,0.00%
2026-04-13,Internal Redirect Chain,0,0.00%
2026-04-13,Internal Redirect Loop,0,0.00%
2026-04-13,Internal Client Error (4xx),0,0.00%
2026-04-13,Internal Server Error (5xx),0,0.00%
2026-04-13,External All,136,51.13%
2026-04-13,External Blocked by Robots.txt,38,14.29%
2026-04-13,External Blocked Resource,0,0.00%
2026-04-13,External No Response,0,0.00%
2026-04-13,External Success (2xx),12,4.51%
2026-04-13,External Redirection (3xx),82,30.83%
2026-04-13,External Redirection (JavaScript),0,0.00%
2026-04-13,External Redirection (Meta Refresh),0,0.00%
2026-04-13,External Redirection (HTTP Refresh),0,0.00%
2026-04-13,External Client Error (4xx),3,1.13%
2026-04-13,External Server Error (5xx),0,0.00%
2026-04-13,All,130,100.00%
2026-04-13,Non ASCII Characters,0,0.00%
2026-04-13,Underscores,0,0.00%
2026-04-13,Uppercase,0,0.00%
2026-04-13,Multiple Slashes,0,0.00%
2026-04-13,Repetitive Path,0,0.00%
2026-04-13,Contains Space,0,0.00%
2026-04-13,Internal Search,0,0.00%
2026-04-13,Parameters,0,0.00%
2026-04-13,Broken Bookmark,0,0.00%
2026-04-13,GA Tracking Parameters,0,0.00%
2026-04-13,Over 115 Characters,0,0.00%
2026-04-13,All,44,100.00%
2026-04-13,Missing,0,0.00%
2026-04-13,Duplicate,0,0.00%
2026-04-13,Over 60 Characters,3,6.82%
2026-04-13,Below 30 Characters,6,13.64%
2026-04-13,Over 561 Pixels,3,6.82%
2026-04-13,Below 200 Pixels,1,2.27%
2026-04-13,Same as H1,37,84.09%
2026-04-13,Multiple,0,0.00%
2026-04-13,Outside <head>,0,0.00%
2026-04-13,All,44,100.00%
2026-04-13,Missing,0,0.00%
2026-04-13,Duplicate,2,4.55%
2026-04-13,Over 155 Characters,33,75.00%
2026-04-13,Below 70 Characters,0,0.00%
2026-04-13,Over 985 Pixels,28,63.64%
2026-04-13,Below 400 Pixels,0,0.00%
2026-04-13,Multiple,0,0.00%
2026-04-13,Outside <head>,0,0.00%
2026-04-13,All,44,100.00%
2026-04-13,Missing,44,100.00%
2026-04-13,Duplicate,0,0.00%
2026-04-13,Multiple,0,0.00%
2026-04-13,All,44,100.00%
