"Site Crawled","https://almapay.com/"
"Start Date","2026-05-22"
"Start Time","14:53:27"
"Last Modified Date","2026-05-22"
"Last Modified Time","14:57:54"
"Elapsed","00:04:22"
"Report Date","2026-05-22"
"Report Time","14:57:54"
""
"Summary","URLs","% of Total","Total URLs","Total URLs Description"
"Total URLs Encountered","2383","100.00%","2383","URLs Encountered"
"Total URLs Crawled","2369","99.41%","2383","URLs Encountered"
"Total Internal blocked by robots.txt","1","0.04%","2383","URLs Encountered"
"Total External blocked by robots.txt","13","0.55%","2383","URLs Encountered"
""
"URLs Displayed","2383","100.00%","2383","URLs Displayed"
"Total Internal URLs","705","29.58%","2383","URLs Displayed"
"Total External URLs","1678","70.42%","2383","URLs Displayed"
"Total Internal Indexable URLs","640","26.86%","2383","URLs Displayed"
"Total Internal Non-Indexable URLs","65","2.73%","2383","URLs Displayed"
""
"Internal"
"All","705","100.00%","705","Internal URLs"
"HTML","644","91.35%","705","Internal URLs"
"JavaScript","28","3.97%","705","Internal URLs"
"CSS","1","0.14%","705","Internal URLs"
"Images","29","4.11%","705","Internal URLs"
"Media","0","0.00%","705","Internal URLs"
"Fonts","0","0.00%","705","Internal URLs"
"XML","2","0.28%","705","Internal URLs"
"PDF","0","0.00%","705","Internal URLs"
"Plugins","0","0.00%","705","Internal URLs"
"Other","0","0.00%","705","Internal URLs"
"Unknown","1","0.14%","705","Internal URLs"
""
"External"
"All","1678","100.00%","1678","External URLs"
"HTML","343","20.44%","1678","External URLs"
"JavaScript","0","0.00%","1678","External URLs"
"CSS","1","0.06%","1678","External URLs"
"Images","1280","76.28%","1678","External URLs"
"Media","0","0.00%","1678","External URLs"
"Fonts","0","0.00%","1678","External URLs"
"XML","0","0.00%","1678","External URLs"
"PDF","12","0.72%","1678","External URLs"
"Plugins","0","0.00%","1678","External URLs"
"Other","29","1.73%","1678","External URLs"
"Unknown","13","0.77%","1678","External URLs"
""
"Security"
"All","705","100.00%","705","All internal and non-HTML external URLs"
"HTTP URLs","0","0.00%","705","All internal and non-HTML external URLs"
"HTTPS URLs","705","100.00%","705","All internal and non-HTML external URLs"
"Mixed Content","0","0.00%","705","All internal and non-HTML external URLs"
"Form URL Insecure","0","0.00%","705","All internal and non-HTML external URLs"
"Form on HTTP URL","0","0.00%","705","All internal and non-HTML external URLs"
"Unsafe Cross-Origin Links","24","3.40%","705","All internal and non-HTML external URLs"
"Protocol-Relative Resource Links","0","0.00%","705","All internal and non-HTML external URLs"
"Missing HSTS Header","0","0.00%","705","All internal and non-HTML external URLs"
"Missing Content-Security-Policy Header","649","92.06%","705","All internal and non-HTML external URLs"
"Missing X-Content-Type-Options Header","666","94.47%","705","All internal and non-HTML external URLs"
"Missing X-Frame-Options Header","666","94.47%","705","All internal and non-HTML external URLs"
"Missing Secure Referrer-Policy Header","666","94.47%","705","All internal and non-HTML external URLs"
"Bad Content Type","0","0.00%","705","All internal and non-HTML external URLs"
""
"Response Codes"
"All","2383","100.00%","2383","All Internal & External Crawled URLs"
"Blocked by Robots.txt","14","0.59%","2383","All Internal & External Crawled URLs"
"Blocked Resource","0","0.00%","2383","All Internal & External Crawled URLs"
"No Response","11","0.46%","2383","All Internal & External Crawled URLs"
"Success (2xx)","2158","90.56%","2383","All Internal & External Crawled URLs"
"Redirection (3xx)","96","4.03%","2383","All Internal & External Crawled URLs"
"Redirection (JavaScript)","0","0.00%","2383","All Internal & External Crawled URLs"
"Redirection (Meta Refresh)","0","0.00%","2383","All Internal & External Crawled URLs"
"Redirection (HTTP Refresh)","0","0.00%","2383","All Internal & External Crawled URLs"
"Client Error (4xx)","103","4.32%","2383","All Internal & External Crawled URLs"
"Server Error (5xx)","0","0.00%","2383","All Internal & External Crawled URLs"
"Internal All","705","29.58%","2383","All Internal Crawled URLs"
"Internal Blocked by Robots.txt","1","0.04%","2383","All Internal Crawled URLs"
"Internal Blocked Resource","0","0.00%","2383","All Internal Crawled URLs"
"Internal No Response","0","0.00%","2383","All Internal Crawled URLs"
"Internal Success (2xx)","666","27.95%","2383","All Internal Crawled URLs"
"Internal Redirection (3xx)","23","0.97%","2383","All Internal Crawled URLs"
"Internal Redirection (JavaScript)","0","0.00%","2383","All Internal Crawled URLs"
"Internal Redirection (Meta Refresh)","0","0.00%","2383","All Internal Crawled URLs"
"Internal Redirection (HTTP Refresh)","0","0.00%","2383","All Internal Crawled URLs"
"Internal Redirect Chain","0","0.00%","2383","All Internal Crawled URLs"
"Internal Redirect Loop","0","0.00%","2383","All Internal Crawled URLs"
"Internal Client Error (4xx)","15","0.63%","2383","All Internal Crawled URLs"
"Internal Server Error (5xx)","0","0.00%","2383","All Internal Crawled URLs"
"External All","1678","70.42%","2383","All External Crawled URLs"
"External Blocked by Robots.txt","13","0.55%","2383","All External Crawled URLs"
"External Blocked Resource","0","0.00%","2383","All External Crawled URLs"
"External No Response","11","0.46%","2383","All External Crawled URLs"
"External Success (2xx)","1492","62.61%","2383","All External Crawled URLs"
"External Redirection (3xx)","73","3.06%","2383","All External Crawled URLs"
"External Redirection (JavaScript)","0","0.00%","2383","All External Crawled URLs"
"External Redirection (Meta Refresh)","0","0.00%","2383","All External Crawled URLs"
"External Redirection (HTTP Refresh)","0","0.00%","2383","All External Crawled URLs"
"External Client Error (4xx)","88","3.69%","2383","All External Crawled URLs"
"External Server Error (5xx)","0","0.00%","2383","All External Crawled URLs"
""
"URL"
"All","705","100.00%","705","Internal URLs"
"Non ASCII Characters","0","0.00%","705","Internal URLs"
"Underscores","2","0.28%","705","Internal URLs"
"Uppercase","594","84.26%","705","Internal URLs"
"Multiple Slashes","0","0.00%","705","Internal URLs"
"Repetitive Path","0","0.00%","705","Internal URLs"
"Contains Space","2","0.28%","705","Internal URLs"
"Internal Search","0","0.00%","705","Internal URLs"
"Parameters","4","0.57%","705","Internal URLs"
"Broken Bookmark","0","0.00%","705","Internal URLs"
"GA Tracking Parameters","2","0.28%","705","Internal URLs"
"Over 115 Characters","2","0.28%","705","Internal URLs"
""
"Page Titles"
"All","606","100.00%","606","Internal HTML pages with 2xx response"
